Trip_no,Trip_time,ax,ay,az,gx,gy,gz,mx,my,mz,speed,GPS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,resultant,mob_id_id
22,11:07:27,6.3685765,3.900753,7.709928,-0.12170287,-0.07536524,-0.3097165,12.3,-38.831253,20.94375,0,0,0.1408863,-0.20050263,0.020304203,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:27,5.995081,2.966416,7.820061,-0.14473854,-0.017576344,-0.035285845,13.087501,-37.18125,19.78125,0,0,-0.08472252,-0.38886595,-0.06394291,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:28,5.3863554,2.9520507,6.909666,-0.17669553,-0.06537867,-0.20092958,13.63125,-35.456253,18.91875,0,0,0.10568762,0.20307517,0.22266626,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:28,5.8508306,4.168904,7.6668324,-0.04940018,-0.08481918,-0.19480449,14.343751,-33.862503,17.925001,0,0,-0.152668,-0.22814894,0.08492851,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:28,5.4007206,3.5984852,8.351574,0.022369893,-0.080691405,-0.15632294,14.775001,-32.325,17.362501,0,0,-0.5182166,-0.3650689,0.22650766,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:28,5.515642,3.2441432,8.059482,-0.14260808,-0.04513925,-0.109452695,15.13125,-30.91875,16.931252,0,0,-0.2497735,0.34160542,0.02230072,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:28,5.2905874,2.932897,7.3885064,-0.07483262,-0.06324821,-0.099066675,15.262501,-29.41875,16.35,0,0,-0.36850166,0.2333703,0.5289984,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:29,5.003283,3.0382419,8.615535,-0.098534055,-0.07869409,-0.108254306,15.4875,-27.937502,15.825001,0,0,-0.43179655,-0.12997556,0.638834,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:29,5.486912,2.7844565,7.968502,-0.057655737,-0.020772044,-0.09813459,15.562501,-26.868752,15.337501,0,0,-0.4653492,-0.37533617,0.18230486,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:29,4.7297454,3.1723173,8.073847,-0.06657706,-0.004926703,-0.05898728,15.543751,-25.743752,14.868751,0,0,-0.63550854,-0.24415994,0.5661073,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:29,4.629189,3.3542767,7.671621,0.012782796,0.020505736,-0.028761292,15.806251,-24.750002,14.3625,0,0,-0.3171878,-0.247226,0.31576252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:29,4.955399,3.5314474,7.877522,-0.027163442,-0.010252868,0.003595162,15.918751,-24.0375,13.931251,0,0,-0.8428631,-0.08678675,0.7244196,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:30,4.964976,2.7365725,8.284536,0.006258244,-0.040345702,-0.020772044,16.087502,-23.41875,13.275001,0,0,-0.9113865,-0.08747101,0.2503538,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:30,4.7058034,2.7844565,8.534132,-0.0661776,0.001464695,-0.007589785,16.25625,-23.04375,12.975,0,0,-0.53896093,-0.058851004,0.5423088,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:30,4.701015,2.9233203,8.399458,0.018108962,-0.021171506,-0.019706812,16.3875,-23.081251,12.937501,0,0,-0.2746029,-0.18122697,0.31781626,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:30,4.7925935,2.9472623,8.385093,0.028361829,-0.017443191,-0.011451255,16.3125,-23.04375,12.900001,0,0,-0.30277252,-0.006201983,0.012009621,0,0,0,0,0,0,0,0,0,0,0,0,0,1
